calendar_date,tracking_key,revenue
2018-07-19,1EC4EB843A585B0C,0.0
2018-07-15,CBB8DD1542453A0F,0.0
2018-06-29,8FBB0CA870080C0D,9787.050000000001
2018-07-04,C3A14145D203BCEB,60.06
2018-06-27,94978CAFCABC9DCE,300.3
2018-07-18,842866E615276D2C,0.0
2018-06-04,36BCC11F502AE08B,4168.71
2018-06-29,2F0CF287101B9A4F,365.82
2018-06-29,F00E8DBBBC2168E6,8763.300000000001
2018-06-01,832FA220479D207C,0.0
2018-06-18,D003CB28FFCA51E0,19.11
2018-06-22,C41AC18D9BACDF68,0.0
2018-07-02,82C24EE82A88948B,43674.53999999999
2018-06-29,CC74A649A1EEB539,4359.8099999999995
2018-06-21,C6A78EAA51C8DA60,0.0
2018-06-16,9CCCA2E324C4EBEA,9301.11
2018-06-27,72A0B06CA57AD1AA,0.0
2018-07-05,E4BEFC2FFF66F1AB,2489.76
2018-07-15,8036A6D2AEE27B6E,0.0
2018-07-15,7F776A03EC24B70A,947.3100000000002
2018-07-14,270B55939CFCF793,98.28
2018-07-14,6B979E5283E82EAE,0.0
2018-07-14,8A97D31BBDB9D095,0.0
2018-06-09,B394D8A3BD9D746F,0.0
2018-07-16,BE31595BD5C51FDB,0.0
2018-07-11,D52B525C0336B37A,0.0
2018-07-02,AA75570D709350FD,0.0
2018-07-08,DD043EB3C7239C56,1201.2
2018-07-17,E4BEFC2FFF66F1AB,1804.53
2018-08-07,5460F49ADBE7ABA2,10805.340000000002
2018-06-29,3A41B2BB6C440522,324.87
2018-06-22,5C5F30B5CB105BC7,21960.12
2018-06-29,5FEB9F5253D9DED9,174.72
2018-06-20,C3768E48E594A570,0.0
2018-06-12,05F4078C13E314A6,3587.2200000000003
2018-07-02,2BC3955CCF619EEA,120.12
2018-07-13,02D23C1ACCB8C455,0.0
2018-07-24,C002AA22D4526742,0.0
2018-07-24,E1D005AD23E5C890,417.69000000000005
2018-07-26,B0D66A371CEA0145,270.27
2018-07-26,15D541FBD9B1E3C9,0.0
2018-07-21,368FF707AC93AD4A,0.0
2018-07-22,8D194B0FB8D79D92,0.0
2018-07-22,109CC3988A20EE37,0.0
2018-08-02,E88480F83F2C89E4,6983.34
2018-08-02,268D78EB53A79E89,92.82
2018-08-02,9367E1C068C2F32D,887.25
2018-08-01,4BC12CA37BB3DC3A,0.0
2018-07-25,3BB28C46F3E2A7F8,207.48
2018-07-22,61E5EA8A69C4956C,0.0
2018-07-20,7A6B38AA22B8D4E1,829.92
2018-07-20,9971E3681A803645,0.0
2018-07-29,A2C5DC3022C0987E,4370.7300000000005
2018-08-02,8A8F99F085BC81D4,95.55000000000001
2018-07-06,DD1CF0A44950AE95,892.71
2018-08-01,8DC729D5273B9105,229.32
2018-07-19,625C666ECF72BD88,1714.44
2018-06-10,55AB7B60495A9B89,14600.04
2018-07-02,84FC33C6284B6FE7,0.0
2018-06-26,598B83DF496CE7FD,0.0
2018-06-21,15B031FF6C1A8D05,0.0
2018-06-26,D7D3461CC8B3A279,32058.390000000003
2018-06-10,46C1A1602D78AC05,128.31
2018-06-22,4D3190BDDE092FF6,1425.0600000000002
2018-06-08,43DC7AB8FFA81698,450.45000000000005
2018-06-28,EDC2AAA2F5259871,0.0
2018-07-01,F98B5BA1CCC2F82E,128.31
2018-06-08,DE9EB0CDABE61BB9,2148.5099999999998
2018-06-09,B151BDCBB9F9566B,0.0
2018-07-31,993CFD6D7AD55B2A,0.0
